File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,isQuote(char aChar),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,isOperator(char aChar),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,isSign(char aChar),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,isPunctuation(char aChar),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,RGTokenizer::readWhile(callback aCallback),7,7,6,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,"RGTokenizer::readUntil(callback aCallback, bool addTerminal)",11,11,8,4,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,"RGTokenizer::readUntil(char aTerminalChar, bool addTerminal)",15,15,11,5,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,RGTokenizer::tokenize(),60,53,43,5,4,2,3,11,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\RGTokenizer.cpp,RGTokenizer::dump(),39,33,17,9,6,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::Row(int32_t aBlockNumber),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::Row(const Row &aCopy),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::Row(const Block &aBlock),44,13,13,1,2,0,29,94,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::Row(KeyValues &aKeyValueList),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::~Row(),4,2,2,0,0,0,2,7,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,"Row::addColumn(const std::string &aString, const Value &aValue)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::setBlockNum(uint32_t aBlockNum),3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::operator=(const Row &aRow),4,4,4,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,Row::operator==(const Row &aCopy),16,14,11,6,2,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,RowCollection::RowCollection(),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,RowCollection::RowCollection(const RowCollection &aCopy),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,RowCollection::~RowCollection(),4,4,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,RowCollection::add(Row* aRow),3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Row.cpp,"RowCollection::reorder(const PropertyList &anOrder, Entity &anEntity)",20,19,14,4,1,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,SQLInterpreter::SQLInterpreter(IInterpreter *aNext),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,SQLInterpreter::~SQLInterpreter(),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,SQLInterpreter::createTable(Entity *anEntity),12,11,10,6,0,0,1,6,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,"SQLInterpreter::deleteRows(const std::string &aName, const Filters &aFilters)",6,6,6,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,"SQLInterpreter::describeTable(const std::string &aName, std::ostream &anOutput)",11,11,12,5,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,SQLInterpreter::dropTable(const std::string &aName),9,9,8,4,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,"SQLInterpreter::insertRow(const Row &aRow, const std::string &aTableName)",5,5,5,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,"SQLInterpreter::selectRows(const std::string &aName, const Filters &aFilters, const PropertyList &anOrderBy)",16,16,13,6,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,"SQLInterpreter::updateRows(const std::string &aName, const KeyValues &aKeyValues, const Filters &aFilters)",15,15,12,6,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,SQLInterpreter::showTables(),5,5,5,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,SQLInterpreter::interpret(const Statement &aStatement),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLInterpreter.cpp,SQLInterpreter::getStatement(Tokenizer &aTokenizer),24,24,20,5,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,"skipIf(Tokenizer &aTokenizer, Keywords aKeyword)",6,6,5,3,0,1,0,3,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,"skipIf(Tokenizer &aTokenizer, TokenType aTokenType)",6,6,5,3,0,1,0,3,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,"SQLStatement::SQLStatement(SQLInterpreter &anInterpreter, Keywords aStatementType)",1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,SQLStatement::parse(Tokenizer &aTokenizer),1,1,2,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,SQLStatement::run(std::ostream &aStream),1,1,2,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,"SQLStatement::parseIdentifierList(StringList &aList, Tokenizer &aTokenizer)",16,15,13,4,1,1,0,2,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,"SQLStatement::parseValueList(StringList &aList, Tokenizer &aTokenizer)",16,15,13,4,1,1,0,2,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,"SQLStatement::parseIdValueList(KeyValues &aList, Tokenizer &aTokenizer)",22,21,18,5,1,3,0,9,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,CreateTableStatement::CreateTableStatement(SQLInterpreter &anInterpreter),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,"parseVarcharSize(Attribute &anAttribute, Tokenizer &aTokenizer)",15,15,14,5,0,1,0,5,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,"CreateTableStatement::parseAttributeOptions(Attribute &anAttribute, Tokenizer &aTokenizer)",41,38,27,10,3,3,0,5,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,"CreateTableStatement::parseAttribute(Attribute &anAttribute, Tokenizer &aTokenizer)",26,22,18,6,4,3,0,3,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,CreateTableStatement::parseAttributes(Tokenizer &aTokenizer),18,16,15,4,2,3,0,11,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,CreateTableStatement::parse(Tokenizer &aTokenizer),18,16,14,7,1,4,1,22,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,CreateTableStatement::run(std::ostream &aStream) const,7,6,5,2,0,1,1,11,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,DeleteStatement::DeleteStatement(SQLInterpreter &anInterpreter),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,DeleteStatement::parse(Tokenizer &aTokenizer),41,34,26,12,7,6,0,19,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,DeleteStatement::run(std::ostream &aStream) const,2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,DescribeStatement::DescribeStatement(SQLInterpreter &anInterpreter),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,DescribeStatement::parse(Tokenizer &aTokenizer),10,10,10,4,0,3,0,12,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,DescribeStatement::run(std::ostream &aStream) const,2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,DropTableStatement::DropTableStatement(SQLInterpreter &anInterpreter),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,DropTableStatement::parse(Tokenizer &aTokenizer),13,13,12,5,0,4,0,16,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,DropTableStatement::run(std::ostream &aStream) const,2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,"createRow(InsertStatement &aStatement, std::map<std::string,std::string> &aKVList, Entity &anEntity)",23,16,15,3,5,1,2,27,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,InsertStatement::InsertStatement(SQLInterpreter &anInterpreter),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,"InsertStatement::makeRowsFromValueLists(Tokenizer &aTokenizer, Entity &anEntity, StringList &aFields)",24,18,16,5,5,2,1,14,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,InsertStatement::parse(Tokenizer &aTokenizer),34,29,23,10,5,4,0,21,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,InsertStatement::run(std::ostream &aStream) const,7,7,7,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,SelectStatement::SelectStatement(SQLInterpreter &anInterpreter),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,"SelectStatement::parseFields(Attribute &anAttribute, Tokenizer &aTokenizer)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,SelectStatement::parseValues(Tokenizer &aTokenizer),3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,SelectStatement::parseGroupBy(Tokenizer &aTokenizer),18,17,14,6,0,1,1,7,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,SelectStatement::parseOrderBy(Tokenizer &aTokenizer),19,19,16,6,0,2,0,4,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,SelectStatement::parse(Tokenizer &aTokenizer),68,55,40,19,11,7,2,41,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,SelectStatement::run(std::ostream &aStream) const,2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,ShowTablesStatement::ShowTablesStatement(SQLInterpreter &anInterpreter),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,ShowTablesStatement::parse(Tokenizer &aTokenizer),9,9,9,4,0,2,0,5,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,ShowTablesStatement::run(std::ostream &aStream) const,2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,UpdateStatement::UpdateStatement(SQLInterpreter &anInterpreter),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,UpdateStatement::parseFields(Tokenizer &aTokenizer),3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\SQLStatement.cpp,UpdateStatement::parse(Tokenizer &aTokenizer),32,28,20,9,4,5,0,16,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Statement.cpp,Statement::Statement(Keywords aStatementType),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Statement.cpp,Statement::Statement(const Statement &aCopy),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Statement.cpp,Statement::~Statement(),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Statement.cpp,Statement::parse(Tokenizer &aTokenizer),2,2,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Statement.cpp,Statement::run(std::ostream &aStream) const,3,2,2,1,0,0,1,2,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,BlockCache::contains(uint32_t aBlockNum),8,8,6,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,BlockCache::get(uint32_t aBlockNum),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,"BlockCache::put(uint32_t aBlockNum, const Block &aBlock)",18,17,14,3,0,3,1,14,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,"write(Block &aBlock, std::fstream &aStream)",6,6,7,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,"BlockIO::readBlock(uint32_t aBlockNumber, Block &aBlock)",6,6,6,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,"BlockIO::writeBlock(uint32_t aBlockNumber, Block &aBlock)",4,4,4,1,0,1,0,5,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,"CachedBlockIO::readBlock(uint32_t aBlockNumber, Block &aBlock)",11,11,10,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,"CachedBlockIO::writeBlock(uint32_t aBlockNumber, Block &aBlock)",3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,Storage::getDefaultStoragePath(),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,Storage::getDatabasePath(const std::string &aDBName),4,4,4,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,"Storage::Storage(const std::string aName, CreateNewStorage)",3,3,3,1,0,1,0,8,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,"Storage::Storage(const std::string aName, OpenExistingStorage)",10,10,8,2,0,1,0,6,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,Storage::~Storage(),3,3,3,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,Storage::loadTOC(),7,3,3,1,2,1,2,30,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,Storage::setupEmptyStorage(),4,2,2,1,0,0,2,27,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,Storage::makeEmpty(),10,10,10,3,0,1,0,5,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,Storage::isReady() const,2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,Storage::getTotalBlockCount(),5,5,5,1,0,1,0,6,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,Storage::findFreeBlockNum(),16,13,14,5,2,1,1,20,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,Storage::addBlock(Block &aBlock),10,8,7,3,2,2,0,6,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,Storage::releaseBlock(int aBlockNumber),6,6,6,1,0,2,0,11,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,"Storage::addEntity(const std::string &aName, Block &aBlock)",21,17,13,2,3,1,1,8,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,"findIndexOfEntityInTOC(const PersistEntities &aList, const std::string &aName)",7,7,5,4,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,Storage::findEntityInTOC(const std::string &aName),3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,Storage::dropEntity(const std::string &aName),19,14,14,4,2,3,3,45,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Storage.cpp,Storage::eachBlock(StorageCallback aCallback),14,13,12,4,1,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Tokenizer.cpp,Tokenizer::Tokenizer(std::istream &anInput),1,1,1,0,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Tokenizer.cpp,Tokenizer::tokenize(),3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Tokenizer.cpp,Tokenizer::tokenAt(int anOffset),3,3,3,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Tokenizer.cpp,Tokenizer::next(int anOffset),6,6,5,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Tokenizer.cpp,Tokenizer::current(),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Tokenizer.cpp,Tokenizer::peek(int anOffset),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator=(Value& aValue),13,12,11,3,0,1,1,3,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator=(int aValue),10,10,8,2,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator=(double aValue),4,4,4,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator=(float aValue),4,4,4,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator=(std::string aValue),4,4,4,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator=(char* aValue),4,4,4,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator=(const char* aValue),4,4,4,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator=(bool aValue),4,4,4,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator==(const Value& aValue) const,12,12,10,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator<=(const Value& aValue) const,12,12,10,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator>=(const Value& aValue) const,12,12,10,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator>(const Value& aValue) const,12,12,10,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator<(const Value& aValue) const,12,12,10,3,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator bool(),9,9,8,1,0,1,0,6,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator int(),10,10,9,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator uint32_t(),10,10,9,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator double(),10,10,9,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator float(),10,10,9,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator std::string(),5,4,3,1,0,0,1,5,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::operator char*(),5,4,3,1,0,0,1,5,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,char*(),5,4,3,1,0,0,1,5,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::become(DataType aType),25,20,23,4,5,2,0,12,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::getType(),2,2,2,1,0,0,0,0,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::getString(),9,9,8,1,0,1,0,2,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::getSize(),10,10,9,2,0,1,0,2,
C:\Users\Asus\Documents\GitHub\assignment8-taramakesclean\Value.cpp,Value::debugDump(std::ostream &anOutput),15,15,14,2,0,0,0,0,
